param_id,category,parameter,value,unit,scope,source_citation,source_doi,note
p01,problem_scale,global_nrw_volume_daily,346,million_m3_per_day,global,"Liemberger & Wyatt (2019), Water Supply 19(3):831-837",10.2166/ws.2018.129,"Global non-revenue water volume"
p02,problem_scale,global_nrw_volume_annual,126,billion_m3_per_year,global,"Liemberger & Wyatt (2019), Water Supply 19(3):831-837",10.2166/ws.2018.129,"Annual NRW volume"
p03,problem_scale,global_nrw_cost_annual,39,billion_usd_per_year,global,"Liemberger & Wyatt (2019), Water Supply 19(3):831-837",10.2166/ws.2018.129,"Valued at USD 0.31 per m3 (conservative)"
p04,problem_scale,nrw_unit_value,0.31,usd_per_m3,global,"Liemberger & Wyatt (2019), Water Supply 19(3):831-837",10.2166/ws.2018.129,"Conservative valuation used in the study"
p05,problem_scale,global_nrw_share_avg,30,percent,global,"Liemberger & Wyatt (2019) / World Bank / IWA",10.2166/ws.2018.129,"Approximate global average NRW share"
p06,insurance,water_damage_claim_avg,15400,usd_per_claim,us,"Insurance Information Institute (2024), Facts + Statistics",NA,"Water damage & freezing, 2019-2023; ISO/NAIC data"
p07,insurance,water_damage_claim_frequency,1_in_60,ratio_per_year,us,"Insurance Information Institute (2024), Facts + Statistics",NA,"~1 in 60 insured homes files a claim annually"
p08,public_health,gii_incidence_density_ratio,1.34,ratio,global,"Ercumen, Gruber & Colford (2014), EHP 122(7):651-660",10.1289/ehp.1306912,"Tap vs POU-treated in malfunctioning networks; 95% CI 1.01-1.78"
p09,public_health,gii_rr_temporary_outage,3.26,relative_risk,global,"Ercumen, Gruber & Colford (2014), EHP 122(7):651-660",10.1289/ehp.1306912,"95% CI 1.48-7.19"
p10,public_health,gii_or_intermittent_supply,1.61,odds_ratio,global,"Ercumen, Gruber & Colford (2014), EHP 122(7):651-660",10.1289/ehp.1306912,"95% CI 1.26-2.07"
p11,public_health,distribution_deficiency_outbreak_share_min,10,percent,us,"CDC (2013), MMWR 62(35):714-720",NA,"Long-run average share of outbreaks from distribution deficiencies"
p12,public_health,distribution_deficiency_outbreak_share_max,31,percent,us,"CDC (2013), MMWR 62(35):714-720",NA,"Single-year maximum share"
p13,tech_efficacy,smart_meter_mnf_reduction,89,percent,au,"Britton, Stewart & O'Halloran (2013), J. Clean. Prod. 54:166-176",10.1016/j.jclepro.2013.05.018,"Minimum night flow reduction with communication intervention"
p14,tech_efficacy,post_meter_leak_share,10,percent,developed,"Britton, Stewart & O'Halloran (2013), J. Clean. Prod. 54:166-176",10.1016/j.jclepro.2013.05.018,"Post-meter leaks as share of total consumption (up to)"
p15,asset_extension,usaf_corrosion_cost_2018,5.67,billion_usd,us_air_force,"Li, Chakik & Prakash (2021), Sensors 21(9):2908",10.3390/s21092908,"23.6% of total sustainment costs, FY2018"
p16,asset_extension,shm_breakeven_mtow_increase,4,percent,aviation,"Cusati, Corcione & Memmolo (2021), Sensors 21(20):6938",10.3390/s21206938,"Operating cost break-even up to 4% MTOW increase"
p17,cost_model,retrofit_vs_new_cost_ratio,1.49,ratio,building,"Zhao & Mo (2022), SSRN 4213217 (excl. land)",NA,"Retrofit ~49% cheaper excl. land; here used inversely as retrofit-install premium proxy"
p18,cost_model,bas_install_cost_per_sqft_low,2.50,usd_per_sqft,building,"MACC / 75F contractor benchmarks (industry)",NA,"Building automation system install, low end (industry benchmark)"
p19,cost_model,bas_install_cost_per_sqft_high,7.50,usd_per_sqft,building,"MACC / 75F contractor benchmarks (industry)",NA,"Building automation system install, high end (industry benchmark)"
p20,cost_model,wireless_labor_reduction_vs_wired,4.0,factor,building,"75F time-and-motion study (industry)",NA,"Wireless vs wired install labor: 45 min vs 3h30 per unit (~4x)"
p21,efficacy,shutoff_claim_frequency_reduction,96,percent,us,"LexisNexis Risk Solutions (2020), Flo by Moen loss-correlation study",NA,"2,306 installed homes vs 1.3M control, 2 yr; escape-of-water claim frequency -96%"
p22,efficacy,shutoff_claim_severity_reduction,72,percent,us,"LexisNexis Risk Solutions (2020), Flo by Moen loss-correlation study",NA,"Claim severity reduction when a claim still occurred"
p23,efficacy,leak_preventable_share,93,percent,us,"ACE Private Risk Services study (industry, cited widely)",NA,"Share of water-damage cost preventable/minimized with auto detection+shutoff"
p24,efficacy,nationwide_avg_claim_cost_reduction,4000,usd_per_claim,us,"Nationwide / Resideo loss-prevention study (industry)",NA,"Average claim cost reduction for homes with >=1 device"
p25,insurance,premium_discount_water_monitoring_low,5,percent,us,"Industry carrier benchmarks (multiple)",NA,"Premium reduction for water monitoring, low end"
p26,insurance,premium_discount_water_monitoring_high,15,percent,us,"Industry carrier benchmarks (multiple)",NA,"Premium reduction for water monitoring, high end"
